id_str,timestamp_ms,geo_type,poly_area,lon,lat,lon2,lat2,user_id,user_location,retweet,text,label
613854164720984064,1435189212385,coords,0.0,-87.666855,41.96513,\N,\N,140456074,chicago il,0,waiting for the bus at @cta bus stop 15519 in chicago il	,0.0
613881575701389312,1435195747672,coords,0.0,-88.145546,41.779724,\N,\N,161324802,illinois,0,nothing like good old naperville #traveling @ naperville train station	,0.0
613896339831803904,1435199267715,coords,0.0,-87.636955,41.921734,\N,\N,570988724,,0,i m at cta bus stop 1909 in chicago il	,0.0
614040480322469889,1435233633486,coords,0.0,-87.6298,41.878113,\N,\N,73210851,omaha ne,0,we re #hiring click to apply app passenger car electrician #skilledtrade #unionpacificjobs #chicago il #job	,0.0
614049236901056512,1435235721217,coords,0.0,-87.62729,41.867764,\N,\N,268092867,chicago illinois,0,having a moment of what the world is going on at @cta bus stop 2353 in chicago il	,0.0
614095319953993728,1435246708273,coords,0.0,-87.668304,41.9986,\N,\N,18567065,chicago il,0,new to the collections boy cruising at the bus stop @ leather archives amp museum	,0.0
614127859213275136,1435254466237,coords,0.0,-87.99719,42.25194,\N,\N,37973195,chicago il,0,closed due to accident in #mundelein on us 45 between rdg ave and town line rd #traffic #chicago	,1.0
614129484824997888,1435254853813,coords,0.0,-88.11311,41.64189,\N,\N,17470112,naperville,0,property management rental registration @ romeoville police station in romeoville il	,0.0
614129798529552386,1435254928606,coords,0.0,-88.00088,42.25426,\N,\N,37973195,chicago il,0,closed due to accident in #mundelein on us 45 between diamond lk rd and town line rd #traffic #chicago	,1.0
614139440525615104,1435257227437,coords,0.0,-88.27056,42.019585,\N,\N,601387082,,0,this car had paw print stickers all over it and from far away it looked like all these bullet holes and i was scared to drive by it lol	,0.0
614140393526009856,1435257454650,coords,0.0,-87.62627,41.888046,\N,\N,55540658,chicago,0,a look at challenges uber has faced around the world taxi drivers in france went on strike thursday smashing car	,0.0
614172407574560768,1435265087394,coords,0.0,-87.60699,41.60087,\N,\N,2651294322,coast to coast,0,want to work at love s travel stops amp country st we re #hiring in #southholland il click for details #job	,0.0
